alpha,alpha_short,alpha_long,optimization_score
"short=0.10,long=0.30",0.1,0.3,0.07854773266294557
"short=0.10,long=0.10",0.1,0.1,0.0785470297822568
"short=0.10,long=10.00",0.1,10.0,0.07620658967757521
"short=0.10,long=1.00",0.1,1.0,0.07855008995809287
"short=0.10,long=3.00",0.1,3.0,0.07855619910635703
"short=1.00,long=0.30",1.0,0.3,0.07833314126749147
"short=1.00,long=0.10",1.0,0.1,0.07833243876518381
"short=1.00,long=10.00",1.0,10.0,0.07687758835561431
"short=1.00,long=1.00",1.0,1.0,0.07833549767960979
"short=1.00,long=3.00",1.0,3.0,0.0783416058523767
"short=0.30,long=0.30",0.3,0.3,0.07849795926494663
"short=0.30,long=0.10",0.3,0.1,0.07849725646988248
"short=0.30,long=10.00",0.3,10.0,0.07704264213714151
"short=0.30,long=1.00",0.3,1.0,0.0785003160004063
"short=0.30,long=3.00",0.3,3.0,0.07850642487985193
"short=3.00,long=0.30",3.0,0.3,0.07796979928051684
"short=3.00,long=0.10",3.0,0.1,0.07796909679096187
"short=3.00,long=10.00",3.0,10.0,0.07651363778422438
"short=3.00,long=1.00",3.0,1.0,0.07797215450551942
"short=3.00,long=3.00",3.0,3.0,0.07797826039564382
"short=10.00,long=0.30",10.0,0.3,0.07489779218727577
"short=10.00,long=0.10",10.0,0.1,0.07489720920606868
"short=10.00,long=10.00",10.0,10.0,0.08055286311189502
"short=10.00,long=1.00",10.0,1.0,0.07489979204444452
"short=10.00,long=3.00",10.0,3.0,0.07578905590607676
