종목명(ticker),전략
Unknown(015760),SHORT
Unknown(036460),SHORT
Unknown(001040),SHORT
Unknown(097950),SHORT
Unknown(017670),SHORT
Unknown(030200),SHORT
Unknown(030000),SHORT
Unknown(004370),SHORT
Unknown(028260),SHORT
Unknown(035250),SHORT
Unknown(029780),SHORT
Unknown(032640),SHORT
Unknown(000100),SHORT
Unknown(000240),SHORT
Unknown(069620),SHORT
Unknown(000080),SHORT
Unknown(375500),SHORT
Unknown(078930),SHORT
Unknown(096770),SHORT
Unknown(009240),SHORT
Unknown(326030),SHORT
Unknown(003090),SHORT
Unknown(069960),SHORT
Unknown(006280),SHORT
Unknown(000880),SHORT
Unknown(001440),SHORT
Unknown(002380),SHORT
Unknown(023530),SHORT
Unknown(071050),SHORT
Unknown(004990),SHORT
Unknown(000210),SHORT
Unknown(241590),SHORT
Unknown(280360),SHORT
Unknown(139480),SHORT
Unknown(031430),SHORT
Unknown(032350),SHORT
Unknown(000120),SHORT
Unknown(026960),SHORT
Unknown(003490),SHORT
Unknown(251270),SHORT
Unknown(079550),SHORT
Unknown(267250),SHORT
Unknown(004170),SHORT
Unknown(039130),SHORT
Unknown(284740),SHORT
Unknown(090430),SHORT
Unknown(007310),SHORT
Unknown(007070),SHORT
Unknown(006360),SHORT
Unknown(004800),SHORT
Unknown(013890),SHORT
Unknown(192080),SHORT
Unknown(294870),SHORT
Unknown(020000),SHORT
Unknown(024110),SHORT
Unknown(011170),SHORT
Unknown(000670),SHORT
Unknown(373220),SHORT
Unknown(282330),SHORT
Unknown(005300),SHORT
Unknown(112610),SHORT
Unknown(336260),SHORT
Unknown(042660),SHORT
Unknown(105560),SHORT
Unknown(381970),SHORT
Unknown(057050),SHORT
Unknown(004020),SHORT
Unknown(316140),SHORT
Unknown(138930),SHORT
Unknown(005830),SHORT
Unknown(003410),SHORT
Unknown(001800),SHORT
Unknown(066570),SHORT
Unknown(300720),SHORT
Unknown(010780),SHORT
Unknown(006800),SHORT
Unknown(088350),SHORT
Unknown(178920),SHORT
Unknown(114090),SHORT
Unknown(298020),SHORT
Unknown(093370),SHORT
Unknown(008770),SHORT
Unknown(069260),SHORT
Unknown(000990),SHORT
Unknown(009900),SHORT
Unknown(047040),SHORT
Unknown(016380),SHORT
Unknown(120110),SHORT
Unknown(004000),SHORT
Unknown(302440),SHORT
Unknown(001740),SHORT
Unknown(285130),SHORT
Unknown(033780),SHORT
Unknown(139130),SHORT
Unknown(010060),SHORT
Unknown(011210),SHORT
Unknown(010950),SHORT
Unknown(271560),SHORT
Unknown(018260),SHORT
Unknown(009970),SHORT
Unknown(000720),SHORT
